Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,OCCUPATION,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2024,A,0,"Unicameral: (National Assembly), No Data on Age or Gender of the chairperson, Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,204,_U,_U,None,PC_HUM_RIGH,NUMBER,2025-07-10T00:00:00,2024,1.0
2021,A,0,"Unicameral: (National Assembly), Chair(s) presides over a committee which covers multuple themes (Defence, Foreign affairs), , Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,204,M,Y_GE46,None,PC_FAFF_DEF,NUMBER,2025-07-10T00:00:00,2025,1.0
2022,A,0,"Unicameral: (National Assembly), Chair(s) presides over a committee which covers multuple themes (Defence, Foreign affairs), , Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,204,M,Y_GE46,None,PC_FAFF_DEF,NUMBER,2025-07-10T00:00:00,2025,1.0
2023,A,0,"Unicameral: (National Assembly), Chair(s) presides over a committee which covers multuple themes (Defence, Foreign affairs), , Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,204,M,Y_GE46,None,PC_FAFF_DEF,NUMBER,2025-07-10T00:00:00,2025,1.0
2024,A,0,"Unicameral: (National Assembly), Chair(s) presides over a committee which covers multuple themes (Defence, Foreign affairs), , Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,204,M,Y_GE46,None,PC_FAFF_DEF,NUMBER,2025-07-10T00:00:00,2025,1.0
2025,A,0,"Unicameral: (National Assembly), Chair(s) presides over a committee which covers multuple themes (Defence, Foreign affairs), , Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,204,M,Y_GE46,None,PC_FAFF_DEF,NUMBER,2025-07-10T00:00:00,2025,1.0
2021,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,204,M,Y_GE46,None,PC_FINANCE,NUMBER,2025-07-10T00:00:00,2025,1.0
2022,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,204,M,Y_GE46,None,PC_FINANCE,NUMBER,2025-07-10T00:00:00,2025,1.0
2023,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,204,M,Y_GE46,None,PC_FINANCE,NUMBER,2025-07-10T00:00:00,2025,1.0
2024,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,204,M,Y_GE46,None,PC_FINANCE,NUMBER,2025-07-10T00:00:00,2025,1.0
2025,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,204,M,Y_GE46,None,PC_FINANCE,NUMBER,2025-07-10T00:00:00,2025,1.0
2021,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,204,M,Y_GE46,None,PC_GEN_EQU,NUMBER,2025-07-10T00:00:00,2025,1.0
2022,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,204,M,Y_GE46,None,PC_GEN_EQU,NUMBER,2025-07-10T00:00:00,2025,1.0
2023,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,204,M,Y_GE46,None,PC_GEN_EQU,NUMBER,2025-07-10T00:00:00,2025,1.0
2024,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,204,M,Y_GE46,None,PC_GEN_EQU,NUMBER,2025-07-10T00:00:00,2025,1.0
2025,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,204,M,Y_GE46,None,PC_GEN_EQU,NUMBER,2025-07-10T00:00:00,2025,1.0
2021,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,204,M,Y_GE46,None,PC_HUM_RIGH,NUMBER,2025-07-10T00:00:00,2025,1.0
2022,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,204,M,Y_GE46,None,PC_HUM_RIGH,NUMBER,2025-07-10T00:00:00,2025,1.0
2023,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,204,M,Y_GE46,None,PC_HUM_RIGH,NUMBER,2025-07-10T00:00:00,2025,1.0
2025,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,204,M,Y_GE46,None,PC_HUM_RIGH,NUMBER,2025-07-10T00:00:00,2025,1.0
2021,A,0,"Unicameral: - (National Assembly), Data valid as of 1 Jan of given year;  2023 population figures (revised as of July 2024), UN World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLMP_LC,204,None,None,None,None,RO,2025-07-10T00:00:00,2025,0.16459
2022,A,0,"Unicameral: - (National Assembly), Data valid as of 1 Jan of given year;  2023 population figures (revised as of July 2024), UN World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLMP_LC,204,None,None,None,None,RO,2025-07-10T00:00:00,2025,0.14456
2023,A,0,"Unicameral: - (National Assembly), Data valid as of 1 Jan of given year;  2023 population figures (revised as of July 2024), UN World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLMP_LC,204,None,None,None,None,RO,2025-07-10T00:00:00,2025,0.14552
2024,A,0,"Unicameral: - (National Assembly), Data valid as of 1 Jan of given year;  2023 population figures (revised as of July 2024), UN World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLMP_LC,204,None,None,None,None,RO,2025-07-10T00:00:00,2025,0.52268
