Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,OCCUPATION,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2024,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,72,M,Y_GE46,None,PC_FINANCE,NUMBER,2025-07-10T00:00:00,2024,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year",1.0
2021,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,72,M,Y0T45,None,PC_FINANCE,NUMBER,2025-07-10T00:00:00,2021,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year",1.0
2021,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLMP_LC,72,None,None,None,None,RO,2025-07-10T00:00:00,2025,"Unicameral: - (National Assembly), Data valid as of 1 Jan of given year;  2023 population figures (revised as of July 2024), UN World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament",0.20342
2022,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLMP_LC,72,None,None,None,None,RO,2025-07-10T00:00:00,2025,"Unicameral: - (National Assembly), Data valid as of 1 Jan of given year;  2023 population figures (revised as of July 2024), UN World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament",0.20987
2023,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLMP_LC,72,None,None,None,None,RO,2025-07-10T00:00:00,2025,"Unicameral: - (National Assembly), Data valid as of 1 Jan of given year;  2023 population figures (revised as of July 2024), UN World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament",0.21606
2024,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLMP_LC,72,None,None,None,None,RO,2025-07-10T00:00:00,2025,"Unicameral: - (National Assembly), Data valid as of 1 Jan of given year;  2023 population figures (revised as of July 2024), UN World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament",0.21606
2025,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLMP_LC,72,None,None,None,None,RO,2025-07-10T00:00:00,2025,"Unicameral: - (National Assembly), Data valid as of 1 Jan of given year;  2023 population figures (revised as of July 2024), UN World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament",0.172484
2021,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLSP_LC,72,M,Y_GE46,None,None,NUMBER,2025-05-13T00:00:00,2024,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year",1.0
2022,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLSP_LC,72,M,Y_GE46,None,None,NUMBER,2025-05-13T00:00:00,2024,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year",1.0
2023,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLSP_LC,72,M,Y_GE46,None,None,NUMBER,2025-05-13T00:00:00,2024,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year",1.0
2024,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLSP_LC,72,M,Y_GE46,None,None,NUMBER,2025-05-13T00:00:00,2024,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year",1.0
2025,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLSP_LC,72,M,Y0T45,None,None,NUMBER,2025-05-13T00:00:00,2025,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year",1.0
2021,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYN_LC,72,None,Y0T45,None,None,NUMBER,2025-05-13T00:00:00,2024,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year, based on available age data collected after each election",10.0
2022,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYN_LC,72,None,Y0T45,None,None,NUMBER,2025-05-13T00:00:00,2024,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year, based on available age data collected after each election",10.0
2023,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYN_LC,72,None,Y0T45,None,None,NUMBER,2025-05-13T00:00:00,2024,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year, based on available age data collected after each election",10.0
2024,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYN_LC,72,None,Y0T45,None,None,NUMBER,2025-05-13T00:00:00,2024,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year, based on available age data collected after each election",10.0
2021,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYP_LC,72,None,Y0T45,None,None,PT,2025-05-13T00:00:00,2024,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year, based on available age data collected after each election",15.87
2022,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYP_LC,72,None,Y0T45,None,None,PT,2025-05-13T00:00:00,2024,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year, based on available age data collected after each election",15.87
2023,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYP_LC,72,None,Y0T45,None,None,PT,2025-05-13T00:00:00,2024,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year, based on available age data collected after each election",15.87
2024,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYP_LC,72,None,Y0T45,None,None,PT,2025-05-13T00:00:00,2024,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year, based on available age data collected after each election",15.87
2021,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYR_LC,72,None,Y0T45,None,None,RO,2025-05-13T00:00:00,2024,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year; 2021 population figures (revised as of July 2022) used from the United Nations Population Division - World Population Prospects database to calculate ratios; Ratios can be interpreted as follows:  
-	0 means no representation at all of ‘youth’ (45 years and below) in parliament 
-	1 means perfectly proportional representation of ‘youth’ (45 years and below) in parliament 
-	<1 means under-representation of ‘youth’ (45 years and below) in parliament 
-	>1 means over-representation of ‘youth’ (45 years and below) in parliament",0.2201
2022,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYR_LC,72,None,Y0T45,None,None,RO,2025-05-13T00:00:00,2024,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year; 2021 population figures (revised as of July 2022) used from the United Nations Population Division - World Population Prospects database to calculate ratios; Ratios can be interpreted as follows:  
-	0 means no representation at all of ‘youth’ (45 years and below) in parliament 
-	1 means perfectly proportional representation of ‘youth’ (45 years and below) in parliament 
-	<1 means under-representation of ‘youth’ (45 years and below) in parliament 
-	>1 means over-representation of ‘youth’ (45 years and below) in parliament",0.2201
2023,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYR_LC,72,None,Y0T45,None,None,RO,2025-05-13T00:00:00,2024,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year; 2021 population figures (revised as of July 2022) used from the United Nations Population Division - World Population Prospects database to calculate ratios; Ratios can be interpreted as follows:  
-	0 means no representation at all of ‘youth’ (45 years and below) in parliament 
-	1 means perfectly proportional representation of ‘youth’ (45 years and below) in parliament 
-	<1 means under-representation of ‘youth’ (45 years and below) in parliament 
-	>1 means over-representation of ‘youth’ (45 years and below) in parliament",0.21611
2024,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYR_LC,72,None,Y0T45,None,None,RO,2025-05-13T00:00:00,2024,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year; 2021 population figures (revised as of July 2022) used from the United Nations Population Division - World Population Prospects database to calculate ratios; Ratios can be interpreted as follows:  
-	0 means no representation at all of ‘youth’ (45 years and below) in parliament 
-	1 means perfectly proportional representation of ‘youth’ (45 years and below) in parliament 
-	<1 means under-representation of ‘youth’ (45 years and below) in parliament 
-	>1 means over-representation of ‘youth’ (45 years and below) in parliament",0.21611
2019,A,0,HS - Multi-Topic Household Survey,SG_DMK_PSRVC,72,F,None,AGG_PSP,None,RO,2025-03-24T00:00:00,2023,84 - Public administration and defence; compulsory social security,1.16736
2020,A,0,HS - Multi-Topic Household Survey,SG_DMK_PSRVC,72,F,None,AGG_PSP,None,RO,2025-03-24T00:00:00,2023,84 - Public administration and defence; compulsory social security,1.18292
2021,A,0,HS - Multi-Topic Household Survey,SG_DMK_PSRVC,72,F,None,AGG_PSP,None,RO,2025-03-24T00:00:00,2023,84 - Public administration and defence; compulsory social security,1.26167
2022,A,0,HS - Multi-Topic Household Survey,SG_DMK_PSRVC,72,F,None,AGG_PSP,None,RO,2025-03-24T00:00:00,2023,84 - Public administration and defence; compulsory social security,1.25553
2023,A,0,HS - Multi-Topic Household Survey,SG_DMK_PSRVC,72,F,None,AGG_PSP,None,RO,2025-03-24T00:00:00,2023,84 - Public administration and defence; compulsory social security,1.24843
2019,A,0,HS - Multi-Topic Household Survey,SG_DMK_PSRVC,72,M,None,AGG_PSP,None,RO,2025-03-24T00:00:00,2023,84 - Public administration and defence; compulsory social security,0.83264
2020,A,0,HS - Multi-Topic Household Survey,SG_DMK_PSRVC,72,M,None,AGG_PSP,None,RO,2025-03-24T00:00:00,2023,84 - Public administration and defence; compulsory social security,0.81708
2021,A,0,HS - Multi-Topic Household Survey,SG_DMK_PSRVC,72,M,None,AGG_PSP,None,RO,2025-03-24T00:00:00,2023,84 - Public administration and defence; compulsory social security,0.73833
2022,A,0,HS - Multi-Topic Household Survey,SG_DMK_PSRVC,72,M,None,AGG_PSP,None,RO,2025-03-24T00:00:00,2023,84 - Public administration and defence; compulsory social security,0.74447
2023,A,0,HS - Multi-Topic Household Survey,SG_DMK_PSRVC,72,M,None,AGG_PSP,None,RO,2025-03-24T00:00:00,2023,84 - Public administration and defence; compulsory social security,0.75157
